0,Black,12,12,12
1,Red,197,15,31
2,Green,19,161,14
3,Yellow,193,156,0
4,Blue,0,55,218
5,Magenta,136,23,152
6,Cyan,58,150,221
7,White,204,204,204
8,Bright Black (Gray),118,118,118
9,Bright Red,231,72,86
10,Bright Green,22,198,12
11,Bright Yellow,249,241,165
12,Bright Blue,59,120,255
13,Bright Magenta,180,0,158
14,Bright Cyan,97,214,214
15,Bright White,242,242,242
