0,Black,46,52,54
1,Red,204,0,0
2,Green,78,154,6
3,Yellow,196,160,0
4,Blue,52,101,164
5,Magenta,117,80,123
6,Cyan,6,152,154
7,White,211,215,207
8,Bright Black (Gray),85,87,83
9,Bright Red,239,41,41
10,Bright Green,138,226,52
11,Bright Yellow,252,233,79
12,Bright Blue,114,159,207
13,Bright Magenta,173,127,168
14,Bright Cyan,52,226,226
15,Bright White,238,238,236
