0,Black,0,0,0
1,Red,194,54,33
2,Green,37,188,36
3,Yellow,173,173,39
4,Blue,73,46,225
5,Magenta,211,56,211
6,Cyan,51,187,200
7,White,203,204,205
8,Bright Black (Gray),129,131,131
9,Bright Red,252,57,31
10,Bright Green,49,231,34
11,Bright Yellow,234,236,35
12,Bright Blue,88,51,255
13,Bright Magenta,249,53,248
14,Bright Cyan,20,240,240
15,Bright White,233,235,235
